,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,ms_bullish,ms_bearish,ms_neutral,entry_signal,exit_signal,position_size,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2019-01-16,162.35000610351562,18.887500762939453,155.71900177001953,20.10333340962728,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72717.91189556115,63594.27702947348,136312.18892503463,140535.49175491848,-0.06319804299119104
2019-01-17,163.6300048828125,18.887500762939453,155.9795021057129,20.082187589009603,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73291.23394643923,63594.27702947348,136885.5109759127,140535.49175491848,-0.06319804299119104
2019-01-18,165.25,18.987499237060547,156.51550216674804,20.062187576293944,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74016.84317202662,63930.97221988531,137947.81539191195,140535.49175491848,-0.06319804299119104
2019-01-22,161.94000244140625,18.512500762939453,156.9980026245117,20.01812507311503,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72534.26786071512,62331.65079928181,134865.91865999694,140535.49175491848,-0.06319804299119104
2019-01-23,162.14999389648438,18.424999237060547,157.727001953125,19.994895903269448,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72628.32477204937,62037.032874597804,134665.35764664717,140535.49175491848,-0.06319804299119104
2019-01-24,163.1999969482422,18.512500762939453,158.7120018005371,19.970937569936115,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73098.62983233444,62331.65079928181,135430.28063161625,140535.49175491848,-0.06319804299119104
2019-01-25,165.14999389648438,18.75,159.34650115966798,19.948645909627277,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73972.04961027073,63131.31150958356,137103.3611198543,140535.49175491848,-0.06319804299119104
2019-01-28,163.11000061035156,18.787500381469727,159.84950103759766,19.927083412806194,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73058.3197274769,63257.57541701255,136315.89514448945,140535.49175491848,-0.06319804299119104
2019-01-29,161.57000732421875,18.625,160.27950134277344,19.902812576293947,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72368.54398438663,62710.43609951967,135078.9800839063,140535.49175491848,-0.06319804299119104
2019-01-30,165.67999267578125,18.587499618530273,160.8505012512207,19.878229236602785,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74209.44045159346,62584.17219209068,136793.61264368414,140535.49175491848,-0.06319804299119104
2019-02-11,168.39999389648438,18.787500381469727,165.37799987792968,19.85625007947286,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75427.75151834387,63257.57541701255,138685.32693535642,140535.49175491848,-0.06319804299119104
2019-02-12,170.88999938964844,18.912500381469727,165.95899963378906,19.838958422342937,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76543.04559450127,63678.45082707644,140221.4964215777,140535.49175491848,-0.06319804299119104
2019-02-13,171.00999450683594,18.875,166.39049911499023,19.82010424931844,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76596.79240097797,63552.18691964745,140148.97932062543,140535.49175491848,-0.06319804299119104
2019-02-14,171.22000122070312,18.8125,166.8339988708496,19.80239591598511,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76690.85614685016,63341.749214615505,140032.60536146566,140535.49175491848,-0.06319804299119104
